file_name,sim_cnt,sim_ratio,result
고대-1.txt,162,33.82,0
고대-2.txt,162,33.82,0
고대-3.txt,171,35.7,0
고대-4.txt,191,39.87,0
고대-5.txt,479,100.0,1
고대-ori.txt,206,43.01,0
과일-1.txt,0,0.0,0
과일-2.txt,0,0.0,0
과일-3.txt,0,0.0,0
과일-4.txt,0,0.0,0
과일-5.txt,0,0.0,0
과일-ori.txt,0,0.0,0
군대-1.txt,0,0.0,0
군대-2.txt,0,0.0,0
군대-3.txt,0,0.0,0
군대-4.txt,0,0.0,0
군대-5.txt,0,0.0,0
군대-ori.txt,0,0.0,0
보험-1.txt,0,0.0,0
보험-2.txt,0,0.0,0
보험-3.txt,0,0.0,0
보험-4.txt,0,0.0,0
보험-5.txt,0,0.0,0
보험-ori.txt,0,0.0,0
생선-1.txt,0,0.0,0
생선-2.txt,0,0.0,0
생선-3.txt,0,0.0,0
생선-4.txt,0,0.0,0
생선-5.txt,0,0.0,0
생선-ori.txt,0,0.0,0
